SOUND,VOICING,SEGMENT,SEGMENT3,SEGMENT2,STOP,SEGMENT4,STIMULUS,GENERAL_TYPE,PLACE,TYPE,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,SpaceBar.keys,SpaceBar.rt,key_resp_2.keys,key_resp_2.rt,rating.response,rating.rt,participant,Gender,Age,frameRate,OtherLanguages,NativeLanguage,expName,date
Recordings/tuta.wav,no,t,t,u,yes,a,tuta,Training,alveolar,TrainingItems,1,0,100,99,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tapu.wav,no,t,p,a,yes,u,tapu,Training,alveolar,TrainingItems,1,1,101,88,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/didu.wav,yes,d,d,i,yes,u,didu,Training,alveolar,TrainingItems,1,2,102,65,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuvi.wav,yes,v,v,u,no,i,vuvi,Training,bilabial,TrainingItems,1,3,103,83,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/safu.wav,no,s,f,a,no,u,safu,Training,alveolar,TrainingItems,1,4,104,13,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sifu.wav,no,s,f,i,no,u,sifu,Training,alveolar,TrainingItems,1,5,105,48,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/babi.wav,yes,b,b,a,yes,i,babi,Training,bilabial,TrainingItems,1,6,106,90,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/biba.wav,yes,b,b,i,yes,a,biba,Training,bilabial,TrainingItems,1,7,107,64,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/ziva.wav,yes,z,v,i,no,a,ziva,Training,alveolar,TrainingItems,1,8,108,49,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/safi.wav,no,s,f,a,no,i,safi,Training,alveolar,TrainingItems,1,9,109,59,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/ziza.wav,yes,z,z,i,no,a,ziza,Training,alveolar,TrainingItems,1,10,110,6,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/titu.wav,no,t,t,i,yes,u,titu,Training,alveolar,TrainingItems,1,11,111,39,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tupu.wav,no,t,p,u,yes,u,tupu,Training,alveolar,TrainingItems,1,12,112,89,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sasi.wav,no,s,s,a,no,i,sasi,Training,alveolar,TrainingItems,1,13,113,77,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sisi.wav,no,s,s,i,no,i,sisi,Training,alveolar,TrainingItems,1,14,114,87,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuza.wav,yes,v,z,u,no,a,vuza,Training,bilabial,TrainingItems,1,15,115,33,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vizu.wav,yes,v,z,i,no,u,vizu,Training,bilabial,TrainingItems,1,16,116,26,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/bibi.wav,yes,b,b,i,yes,i,bibi,Training,bilabial,TrainingItems,1,17,117,62,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sisa.wav,no,s,s,i,no,a,sisa,Training,alveolar,TrainingItems,1,18,118,80,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/fifa.wav,no,f,f,i,no,a,fifa,Training,bilabial,TrainingItems,1,19,119,93,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sifi.wav,no,s,f,i,no,i,sifi,Training,alveolar,TrainingItems,1,20,120,10,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/sifa.wav,no,s,f,i,no,a,sifa,Training,alveolar,TrainingItems,1,21,121,75,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/viva.wav,yes,v,v,i,no,a,viva,Training,bilabial,TrainingItems,1,22,122,54,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zivu.wav,yes,z,v,i,no,u,zivu,Training,alveolar,TrainingItems,1,23,123,61,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zizu.wav,yes,z,z,i,no,u,zizu,Training,alveolar,TrainingItems,1,24,124,32,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/zavi.wav,yes,z,v,a,no,i,zavi,Training,alveolar,TrainingItems,1,25,125,91,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/baba.wav,yes,b,b,a,yes,a,baba,Training,bilabial,TrainingItems,1,26,126,34,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/pipa.wav,no,p,p,i,yes,a,pipa,Training,bilabial,TrainingItems,1,27,127,30,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vuvu.wav,yes,v,v,u,no,u,vuvu,Training,bilabial,TrainingItems,1,28,128,21,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/dadu.wav,yes,d,d,a,yes,u,dadu,Training,alveolar,TrainingItems,1,29,129,67,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/viza.wav,yes,v,z,i,no,a,viza,Training,bilabial,TrainingItems,1,30,130,98,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vavu.wav,yes,v,v,a,no,u,vavu,Training,bilabial,TrainingItems,1,31,131,25,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/piti.wav,no,p,t,i,yes,i,piti,Training,bilabial,TrainingItems,1,32,132,8,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/vavi.wav,yes,v,v,a,no,i,vavi,Training,bilabial,TrainingItems,1,33,133,76,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tita.wav,no,t,t,i,yes,a,tita,Training,alveolar,TrainingItems,1,34,134,2,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
Recordings/tapa.wav,no,t,p,a,yes,a,tapa,Training,alveolar,TrainingItems,1,35,135,22,,,,,,,,,,,44,F,20,60.28888847,Gujarati,American English,VSH_Exp2,2015_Nov_03_1622
